pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
42,24,uneven,hitting_the_piano,abrupt,0,0.55022544,-0.028095717,"[15, 22, 72, 80, 132, 141, 144, 145]","[15, 20, 22, 23, 132, 141, 145]","[15, 26, 52]"
3,6,accentuated,articulated,accentuated,1,-0.17041604,0.48833796,"[86, 126]","[13, 25, 49, 86, 118, 126]","[24, 35, 38, 52]"
27,22,loud,frenetic,aggressive,2,0.38442564,0.32804075,"[13, 23, 67, 69, 85, 92, 118]","[3, 6, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[8, 11, 25, 30, 34, 38, 41]"
5,22,anxious,frenetic,agitated,3,0.36823452,0.13896024,"[6, 95, 135]","[2, 6, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[17, 26, 30, 36, 39, 52]"
43,18,weightless,ethereal,airy,4,-0.5840069,0.11007371,"[12, 32, 57, 58, 83, 98, 100, 116, 123, 148]","[12, 36, 57, 59, 83, 124, 136, 148]","[3, 32, 36, 44, 51]"
4,7,amateur,bland,amateur,5,0.6483227,-0.0028860902,"[18, 115]","[8, 11, 44, 119]","[1, 30]"
5,22,anxious,frenetic,anxious,6,0.35499093,0.39775124,"[3, 95, 135]","[2, 3, 61, 67, 68, 70, 73, 74, 95, 113, 135]","[8, 13, 25, 42]"
23,30,happy,military,authentic,7,0.28610256,-0.84065664,"[21, 66, 76, 79, 102]","[30, 35, 37, 47, 87, 96, 125, 142]",[]
36,7,robotic,bland,bland,8,0.18947543,0.60691506,"[11, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 11, 44, 119]","[6, 41, 44]"
14,15,dirty,dirty_pile,blurry,9,0.0043604695,-0.66510093,"[39, 63, 108, 121, 138]","[26, 39, 63, 121, 138]","[7, 13]"
1,32,Gould1,professional,bold,10,-0.3354718,-0.7103131,"[35, 37, 54, 75, 78]","[55, 60, 62, 91, 104, 108, 111, 129, 146]",[15]
36,7,robotic,bland,boring,11,0.055838652,0.1274996,"[8, 31, 44, 52, 87, 88, 93, 109, 127, 131, 133, 140, 142, 143]","[5, 8, 44, 119]","[1, 2, 3, 5, 6, 8, 12, 14, 15, 18, 30, 32, 34, 35, 44, 45, 47, 48]"
43,18,weightless,ethereal,breathing,12,-0.67209536,0.26542947,"[4, 32, 57, 58, 83, 98, 100, 116, 123, 148]","[4, 36, 57, 59, 83, 124, 136, 148]","[12, 43]"
27,6,loud,articulated,bright,13,0.014763716,0.1376826,"[2, 23, 67, 69, 85, 92, 118]","[1, 25, 49, 86, 118, 126]","[11, 16, 17, 18, 30, 36, 46, 49, 50]"
21,33,fast,puppies,brisk,14,0.29541343,-0.07180143,"[20, 45, 51, 56, 64, 68, 70, 73, 105, 113]","[28, 32, 45, 50, 56, 64, 66, 79, 80, 84, 85, 102]","[1, 7, 41, 46, 52]"
42,24,uneven,hitting_the_piano,bumpy,15,0.75698733,0.010101533,"[0, 22, 72, 80, 132, 141, 144, 145]","[0, 20, 22, 23, 132, 141, 145]","[2, 5]"
34,31,quiet,peaceful,calm,16,-0.35841468,0.02074145,"[59, 106, 119, 136]","[17, 58, 65, 82, 89, 90, 100, 116, 134, 147]","[6, 9, 10, 24, 33, 35, 37, 47, 49, 50]"
37,31,round,peaceful,cantabile,17,-0.5974811,-0.013878447,"[62, 82, 90, 111, 147]","[16, 58, 65, 82, 89, 90, 100, 116, 134, 147]","[36, 47, 50]"
4,12,amateur,controlled,careful,18,-0.31841967,0.35323334,"[5, 115]","[24, 31, 38, 52, 130, 131]","[6, 9, 19, 31, 42]"
