pile_idx1,pile_idx2,pile_name1,pile_name2,term,term_idx,mds_xcoord,mds_ycoord,neighbors1,neighbors2,performances
17,0,emotional,Beethoven,romantic,110,-0.4841669,0.40577367,"[48, 50, 55, 74, 81, 84, 91, 94, 97, 99]","[41, 48, 53, 77, 98, 99, 103, 105, 112, 123, 139]","[1, 3, 11, 31, 35, 38, 43, 50]"
37,32,round,professional,round,111,-0.49891692,-0.4428244,"[17, 62, 82, 90, 147]","[10, 55, 60, 62, 91, 104, 108, 129, 146]","[26, 36, 38, 40, 49]"
19,0,expressive,Beethoven,rubato,112,-0.5484694,0.48116797,"[28, 29, 38, 53]","[41, 48, 53, 77, 98, 99, 103, 105, 110, 123, 139]","[33, 45]"
21,22,fast,frenetic,rushed,113,-0.08703382,0.7819692,"[14, 20, 45, 51, 56, 64, 68, 70, 73, 105]","[2, 3, 6, 61, 67, 68, 70, 73, 74, 95, 135]","[1, 5, 11, 13, 17, 18, 26, 32, 33, 37, 38, 41, 42, 52]"
38,29,sad,melancholic,sad,114,0.3009447,0.1881806,[122],"[33, 34, 69, 97, 122, 149]","[3, 7, 9, 10, 14, 24, 35, 40, 47, 50]"
4,25,amateur,impressionist,searching,115,0.075610444,-0.6502605,"[5, 18]","[40, 42, 101, 106, 137]",[6]
43,31,weightless,peaceful,serene,116,-0.72686803,-0.14699449,"[4, 12, 32, 57, 58, 83, 98, 100, 123, 148]","[16, 17, 58, 65, 82, 89, 90, 100, 134, 147]","[3, 35, 46, 49]"
41,28,sterile,machine-like,shallow,117,0.7331855,-0.04443594,"[24, 25, 43, 128]","[27, 43, 71, 88, 92, 93, 107, 109, 127, 128, 133, 140, 143]","[1, 35, 36]"
27,6,loud,articulated,sharp,118,0.17277212,0.027765578,"[2, 13, 23, 67, 69, 85, 92]","[1, 13, 25, 49, 86, 126]","[7, 12, 18, 25]"
34,7,quiet,bland,shy,119,0.24719419,-0.47200894,"[16, 59, 106, 136]","[5, 8, 11, 44]","[3, 10, 15]"
39,8,simple,childhood,simple,120,-0.50848097,-0.64016813,"[46, 60, 130]","[21, 46, 76]","[2, 7, 31]"
14,15,dirty,dirty_pile,sloppy,121,-0.2541016,-0.81392336,"[9, 39, 63, 108, 138]","[9, 26, 39, 63, 138]","[5, 30, 40, 41]"
38,29,sad,melancholic,slow,122,0.33619073,0.19721542,[114],"[33, 34, 69, 97, 114, 149]","[3, 9, 12, 14, 15, 17, 24, 27, 31, 35, 40, 42, 45, 47, 49, 50, 51]"
43,0,weightless,Beethoven,soaring,123,-0.6344185,0.33485034,"[4, 12, 32, 57, 58, 83, 98, 100, 116, 148]","[41, 48, 53, 77, 98, 99, 103, 105, 110, 112, 139]","[3, 12, 13, 15, 19]"
40,18,soft,ethereal,soft,124,-0.78951746,0.039488096,"[36, 42, 65, 89, 134]","[4, 12, 36, 57, 59, 83, 136, 148]","[3, 5, 6, 7, 9, 10, 11, 12, 15, 16, 18, 19, 24, 25, 32, 33, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51]"
13,30,dark,military,solemn,125,0.4019808,-0.6752801,"[33, 149]","[7, 30, 35, 37, 47, 87, 96, 142]","[9, 15, 38]"
3,6,accentuated,articulated,staccato,126,0.15064004,-0.1773689,"[1, 86]","[1, 13, 25, 49, 86, 118]","[2, 8, 16, 18, 27, 30, 34, 42, 52]"
